Model,Spacing,Accuracy,Set Size
Mean,0.4000000059604645,0.9211999773979187,8
Multi-Head Attention,0.4000000059604645,0.9977999925613403,32
TopK,0.4000000059604645,0.9958000183105469,32
Mean,0.4000000059604645,0.9969000220298767,32
Multi-Head Attention,0.4000000059604645,1.0,128
TopK,0.4000000059604645,0.9998000264167786,128
Mean,0.4000000059604645,1.0,128
Baseline,0.45000001788139343,0.71670001745224,1
Multi-Head Attention,0.45000001788139343,0.944599986076355,8
TopK,0.45000001788139343,0.9492999911308289,8
Mean,0.45000001788139343,0.9502000212669373,8
Multi-Head Attention,0.45000001788139343,0.9994999766349792,32
TopK,0.45000001788139343,0.9965000152587891,32
Mean,0.45000001788139343,0.9997000098228455,32
Multi-Head Attention,0.45000001788139343,1.0,128
TopK,0.45000001788139343,0.9973000288009644,128
Mean,0.45000001788139343,1.0,128
Baseline,0.5,0.7376999855041504,1
Multi-Head Attention,0.5,0.9621000289916992,8
TopK,0.5,0.9632999897003174,8
Mean,0.5,0.9649999737739563,8
Multi-Head Attention,0.5,0.9987000226974487,32
TopK,0.5,0.9975000023841858,32
Mean,0.5,0.9998999834060669,32
Multi-Head Attention,0.5,1.0,128
TopK,0.5,1.0,128
Mean,0.5,1.0,128
Baseline,0.550000011920929,0.7534000277519226,1
Multi-Head Attention,0.550000011920929,0.9732999801635742,8
TopK,0.550000011920929,0.973800003528595,8
Mean,0.550000011920929,0.9726999998092651,8
Multi-Head Attention,0.550000011920929,1.0,32
TopK,0.550000011920929,0.9994000196456909,32
Mean,0.550000011920929,0.9991000294685364,32
Multi-Head Attention,0.550000011920929,1.0,128
TopK,0.550000011920929,1.0,128
Mean,0.550000011920929,1.0,128
Baseline,0.6000000238418579,0.7757999897003174,1
Multi-Head Attention,0.6000000238418579,0.9829000234603882,8
TopK,0.6000000238418579,0.9847999811172485,8
Mean,0.6000000238418579,0.9771999716758728,8
Multi-Head Attention,0.6000000238418579,0.9998999834060669,32
TopK,0.6000000238418579,1.0,32
Mean,0.6000000238418579,0.9998999834060669,32
Multi-Head Attention,0.6000000238418579,1.0,128
TopK,0.6000000238418579,0.9998999834060669,128
Mean,0.6000000238418579,1.0,128
Baseline,0.6500000357627869,0.7979000210762024,1
Multi-Head Attention,0.6500000357627869,0.991100013256073,8
TopK,0.6500000357627869,0.9912999868392944,8
Mean,0.6500000357627869,0.9933000206947327,8
Multi-Head Attention,0.6500000357627869,1.0,32
TopK,0.6500000357627869,1.0,32
Mean,0.6500000357627869,1.0,32
Multi-Head Attention,0.6500000357627869,1.0,128
TopK,0.6500000357627869,1.0,128
Mean,0.6500000357627869,1.0,128
Baseline,0.699999988079071,0.8125,1
Multi-Head Attention,0.699999988079071,0.9934999942779541,8
TopK,0.699999988079071,0.9927999973297119,8
Mean,0.699999988079071,0.9944999814033508,8
Multi-Head Attention,0.699999988079071,1.0,32
TopK,0.699999988079071,1.0,32
Mean,0.699999988079071,1.0,32
Multi-Head Attention,0.699999988079071,1.0,128
TopK,0.699999988079071,1.0,128
Mean,0.699999988079071,1.0,128
Baseline,0.75,0.8220000267028809,1
Multi-Head Attention,0.75,0.9944999814033508,8
TopK,0.75,0.9937999844551086,8
Mean,0.75,0.9958999752998352,8
Multi-Head Attention,0.75,1.0,32
TopK,0.75,0.9998999834060669,32
Mean,0.75,1.0,32
Multi-Head Attention,0.75,1.0,128
TopK,0.75,1.0,128
Mean,0.75,1.0,128
Baseline,0.800000011920929,0.8446000218391418,1
Multi-Head Attention,0.800000011920929,0.9975000023841858,8
TopK,0.800000011920929,0.9979000091552734,8
Mean,0.800000011920929,0.9970999956130981,8
Multi-Head Attention,0.800000011920929,1.0,32
TopK,0.800000011920929,0.9994000196456909,32
Mean,0.800000011920929,1.0,32
Multi-Head Attention,0.800000011920929,1.0,128
TopK,0.800000011920929,1.0,128
Mean,0.800000011920929,1.0,128
Baseline,0.8499999642372131,0.8557000160217285,1
Multi-Head Attention,0.8499999642372131,0.9991999864578247,8
TopK,0.8499999642372131,0.9990000128746033,8
Mean,0.8499999642372131,0.9986000061035156,8
Multi-Head Attention,0.8499999642372131,1.0,32
